SchemaName,TableName,IndexName,IsUnique,IsPrimaryKey,IndexType,KeyColumns,IncludedColumns,FilterDefinition
dbo,RacketStringingOrderDetail,PK_RacketStringingOrderDetail,YES,YES,CLUSTERED,DetailID,,
dbo,RacketStringingOrderDetail,UQ_RSOD_OrderID,YES,NO,NONCLUSTERED,OrderID,,
dbo,Roles,PK_Roles,YES,YES,CLUSTERED,RoleID,,
dbo,San,PK_San,YES,YES,CLUSTERED,SanID,,
dbo,SanPham_DichVu,PK_SanPham_DichVu,YES,YES,CLUSTERED,SanPhamID,,
dbo,SanQR,IX_SanQR_TrangThai,NO,NO,NONCLUSTERED,TrangThai,,
dbo,SanQR,PK_SanQR,YES,YES,CLUSTERED,SanQRID,,
dbo,SanQR,UQ_SanQR_SanID,YES,NO,NONCLUSTERED,SanID,,
dbo,SanQR,UQ_SanQR_ShortCode,YES,NO,NONCLUSTERED,ShortCode,,
dbo,SanQR,UQ_SanQR_Token,YES,NO,NONCLUSTERED,Token,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_SanID,NO,NO,NONCLUSTERED,SanID,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_SanQRID,NO,NO,NONCLUSTERED,SanQRID,,
dbo,SanQRTokenHistory,IX_SanQRTokenHistory_TokenHash,NO,NO,NONCLUSTERED,TokenHash,,
dbo,SanQRTokenHistory,PK_SanQRTokenHistory,YES,YES,CLUSTERED,HistoryID,,
dbo,SanQRTokenHistory,UQ_SanQRTokenHistory_Token,YES,NO,NONCLUSTERED,Token,,
dbo,ServiceMaterial,IX_ServiceMaterial_CoSoID,NO,NO,NONCLUSTERED,CoSoID,,
dbo,ServiceMaterial,PK_ServiceMaterial,YES,YES,CLUSTERED,MaterialID,,
dbo,ServiceOrder,IX_ServiceOrder_BookingID,NO,NO,NONCLUSTERED,BookingID,,
dbo,ServiceOrder,IX_ServiceOrder_CoSoID,NO,NO,NONCLUSTERED,CoSoID,,
dbo,ServiceOrder,IX_ServiceOrder_CustomerID,NO,NO,NONCLUSTERED,CustomerID,,
dbo,ServiceOrder,IX_ServiceOrder_Status,NO,NO,NONCLUSTERED,Status,,
dbo,ServiceOrder,PK_ServiceOrder,YES,YES,CLUSTERED,OrderID,,
dbo,ServiceOrderStatusHistory,IX_SOSH_OrderID,NO,NO,NONCLUSTERED,OrderID,,
dbo,ServiceOrderStatusHistory,PK_ServiceOrderStatusHistory,YES,YES,CLUSTERED,HistoryID,,
dbo,SoftHold,IX_SoftHold_San_Ngay,NO,NO,NONCLUSTERED,"SanID, NgayDat, CreatedTime",,
dbo,SoftHold,PK_SoftHold,YES,YES,CLUSTERED,SoftHoldID,,
dbo,SportService,IX_SportService_CoSoID,NO,NO,NONCLUSTERED,CoSoID,,
dbo,SportService,IX_SportService_ServiceType,NO,NO,NONCLUSTERED,ServiceType,,
dbo,SportService,PK_SportService,YES,YES,CLUSTERED,ServiceID,,
dbo,SuCo,PK_SuCo,YES,YES,CLUSTERED,SuCoID,,
dbo,sysdiagrams,PK_sysdiagrams,YES,YES,CLUSTERED,diagram_id,,
dbo,sysdiagrams,UK_principal_name,YES,NO,NONCLUSTERED,"principal_id, name",,
