SchemaName,TableName,OrdinalPosition,ColumnName,VietnameseColumnName,DataType,FullDataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IdentitySeed,IdentityIncrement,IsComputed,ComputedDefinition,IsPrimaryKey,PrimaryKeyOrder,IsForeignKey,ForeignKeyName,ReferencedSchema,ReferencedTable,ReferencedColumn,IsUnique,CheckConstraint,BusinessDescription,SourceOfTruth,Notes
dbo,Accounts,43,MucTieuChoi,MucTieuChoi,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,44,TanSuatChoi,TanSuatChoi,VARCHAR,VARCHAR(30),30,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,45,QrImagePath,Ảnh QR nhận lương,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_salary.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,AdminTrash,1,TrashID,Mã bản ghi thùng rác,INT,INT,,10,0,NO,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,2,EntityType,EntityType,NVARCHAR,NVARCHAR(100),100,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,3,EntityID,mã Entity,INT,INT,,10,0,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,4,DisplayName,DisplayName,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,5,SourceTable,SourceTable,NVARCHAR,NVARCHAR(100),100,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,6,OldStatus,OldStatus,NVARCHAR,NVARCHAR(100),100,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,7,DeletedBy,Người xóa,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,8,DeletedAt,Thời điểm xóa,DATETIME2,DATETIME2,,,,NO,(sysutcdatetime()),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,9,Reason,Reason,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,10,IsRestored,cờ Restored,BIT,BIT,,,,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,11,RestoredBy,RestoredBy,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AdminTrash,12,RestoredAt,RestoredAt,DATETIME2,DATETIME2,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,1,AuditLogID,mã AuditLog,BIGINT,BIGINT,,19,0,NO,,YES,1,1,NO,,YES,1,NO,,,,,YES,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,2,ActorAccountID,mã ActorAccount,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,3,ActorName,ActorName,NVARCHAR,NVARCHAR(255),255,,,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,AuditLog,4,ActorRole,ActorRole,INT,INT,,10,0,NO,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
